"","gene_id","gene_symbol"
"134","ENSMUSG00000000776.13","Polr3d"
"135","ENSMUSG00000000782.16","Tcf7"
"136","ENSMUSG00000000787.12","Ddx3x"
"137","ENSMUSG00000000791.9","Il12rb1"
"138","ENSMUSG00000000792.2","Slc5a5"
"139","ENSMUSG00000000794.9","Kcnn3"
"140","ENSMUSG00000000804.14","Usp32"
"141","ENSMUSG00000000805.18","Car4"
"142","ENSMUSG00000000811.13","Txnrd3"
"143","ENSMUSG00000000817.10","Fasl"
"144","ENSMUSG00000000823.16","Zfp512b"
"145","ENSMUSG00000000826.16","Dnajc5"
"146","ENSMUSG00000000827.18","Tpd52l2"
"147","ENSMUSG00000000838.17","Fmr1"
"148","ENSMUSG00000000861.15","Bcl11a"
"149","ENSMUSG00000000869.12","Il4"
"150","ENSMUSG00000000876.11","Pxmp4"
"151","ENSMUSG00000000881.12","Dlg3"
"152","ENSMUSG00000000884.17","Gnb1l"
"153","ENSMUSG00000000889.8","Dbh"
"154","ENSMUSG00000000901.17","Mmp11"
"155","ENSMUSG00000000902.13","Smarcb1"
"156","ENSMUSG00000000903.3","Vpreb3"
"157","ENSMUSG00000000915.15","Hip1r"
"158","ENSMUSG00000000916.15","Nsun5"
"159","ENSMUSG00000000934.9","Top1mt"
"160","ENSMUSG00000000938.11","Hoxa10"
"161","ENSMUSG00000000942.10","Hoxa4"
"162","ENSMUSG00000000948.16","Gm38393"
"163","ENSMUSG00000000957.11","Mmp14"
"164","ENSMUSG00000000958.10","Slc7a7"
"165","ENSMUSG00000000959.7","Oxa1l"
"166","ENSMUSG00000000976.13","Heatr6"
"167","ENSMUSG00000000982.5","Ccl3"
"168","ENSMUSG00000000983.13","Wfdc18"
"169","ENSMUSG00000001014.6","Icam4"
"170","ENSMUSG00000001016.12","Ilf2"
"171","ENSMUSG00000001017.15","Chtop"
"172","ENSMUSG00000001018.15","Snapin"
"173","ENSMUSG00000001020.8","S100a4"
"174","ENSMUSG00000001021.13","S100a3"
"175","ENSMUSG00000001023.10","S100a5"
"176","ENSMUSG00000001025.8","S100a6"
"177","ENSMUSG00000001027.7","Scn4a"
"178","ENSMUSG00000001029.15","Icam2"
"179","ENSMUSG00000001034.17","Mapk7"
"180","ENSMUSG00000001036.17","Epn2"
"181","ENSMUSG00000001039.12","B9d1"
"182","ENSMUSG00000001052.15","Sec24b"
"183","ENSMUSG00000001053.15","N4bp3"
"184","ENSMUSG00000001054.9","Rmnd5b"
"185","ENSMUSG00000001056.3","Nhp2"
"186","ENSMUSG00000001062.18","Vps9d1"
"187","ENSMUSG00000001065.15","Zfp276"
"188","ENSMUSG00000001076.7","C1ql4"
"189","ENSMUSG00000001082.12","Mfsd10"
"190","ENSMUSG00000001089.14","Luzp1"
"191","ENSMUSG00000001095.5","Slc13a2"
"192","ENSMUSG00000001098.15","Kctd10"
"193","ENSMUSG00000001100.10","Poldip2"
"194","ENSMUSG00000001103.7","Sebox"
"195","ENSMUSG00000001105.15","Ift20"
