"","gene_id","gene_symbol"
"3010","ENSMUSG00000021264.12","Yy1"
"3011","ENSMUSG00000021265.3","Slc25a29"
"3012","ENSMUSG00000021266.16","Wars"
"3013","ENSMUSG00000021268.17","Meg3"
"3014","ENSMUSG00000021270.13","Hsp90aa1"
"3015","ENSMUSG00000021271.5","Zfp839"
"3016","ENSMUSG00000021273.11","Fdft1"
"3017","ENSMUSG00000021275.16","Tecpr2"
"3018","ENSMUSG00000021276.10","Cinp"
"3019","ENSMUSG00000021277.16","Traf3"
"3020","ENSMUSG00000021278.7","Amn"
"3021","ENSMUSG00000021279.5","Cdc42bpb"
"3022","ENSMUSG00000021280.9","Exoc3l4"
"3023","ENSMUSG00000021281.15","Tnfaip2"
"3024","ENSMUSG00000021282.17","Eif5"
"3025","ENSMUSG00000021285.15","Ppp1r13b"
"3026","ENSMUSG00000021286.8","Zfyve21"
"3027","ENSMUSG00000021287.12","Xrcc3"
"3028","ENSMUSG00000021288.19","Klc1"
"3029","ENSMUSG00000021290.6","Atp5mpl"
"3030","ENSMUSG00000021294.7","Kif26a"
"3031","ENSMUSG00000021298.8","Gpr132"
"3032","ENSMUSG00000021301.9","Hecw1"
"3033","ENSMUSG00000021302.10","Ggps1"
"3034","ENSMUSG00000021303.14","Gng4"
"3035","ENSMUSG00000021306.11","Gpr137b"
"3036","ENSMUSG00000021311.9","Mtr"
"3037","ENSMUSG00000021313.16","Ryr2"
"3038","ENSMUSG00000021314.13","Amph"
"3039","ENSMUSG00000021318.15","Gli3"
"3040","ENSMUSG00000021319.7","Sfrp4"
"3041","ENSMUSG00000021322.8","Aoah"
"3042","ENSMUSG00000021326.13","Trim27"
"3043","ENSMUSG00000021327.19","Zkscan3"
"3044","ENSMUSG00000021335.13","Slc17a1"
"3045","ENSMUSG00000021336.17","Slc17a4"
"3046","ENSMUSG00000021337.8","Scgn"
"3047","ENSMUSG00000021338.17","Carmil1"
"3048","ENSMUSG00000021339.4","Mrs2"
"3049","ENSMUSG00000021340.13","Gpld1"
"3050","ENSMUSG00000021342.14","Prl"
"3051","ENSMUSG00000021345.16","Prl8a6"
"3052","ENSMUSG00000021346.14","Prl8a8"
"3053","ENSMUSG00000021347.3","Prl7b1"
"3054","ENSMUSG00000021348.3","Prl7d1"
"3055","ENSMUSG00000021356.10","Irf4"
"3056","ENSMUSG00000021357.14","Exoc2"
"3057","ENSMUSG00000021359.16","Tfap2a"
"3058","ENSMUSG00000021360.16","Gcnt2"
"3059","ENSMUSG00000021361.7","Tmem14c"
"3060","ENSMUSG00000021362.7","Gcm2"
"3061","ENSMUSG00000021363.14","Mak"
"3062","ENSMUSG00000021364.16","Elovl2"
"3063","ENSMUSG00000021365.15","Nedd9"
"3064","ENSMUSG00000021366.8","Hivep1"
"3065","ENSMUSG00000021367.8","Edn1"
"3066","ENSMUSG00000021368.15","Tbc1d7"
"3067","ENSMUSG00000021371.5","Mcur1"
"3068","ENSMUSG00000021373.16","Cap2"
"3069","ENSMUSG00000021374.10","Nup153"
"3070","ENSMUSG00000021375.11","Kif13a"
"3071","ENSMUSG00000021376.11","Tpmt"
"3072","ENSMUSG00000021377.15","Dek"
"3073","ENSMUSG00000021379.2","Id4"
"3074","ENSMUSG00000021381.4","Barx1"
"3075","ENSMUSG00000021384.14","Susd3"
"3076","ENSMUSG00000021385.10","Ippk"
"3077","ENSMUSG00000021388.14","Aspn"
"3078","ENSMUSG00000021390.6","Ogn"
"3079","ENSMUSG00000021391.10","Cenpp"
"3080","ENSMUSG00000021392.8","Nol8"
"3081","ENSMUSG00000021395.11","Spin1"
"3082","ENSMUSG00000021396.5","Nxnl2"
"3083","ENSMUSG00000021400.8","Wrnip1"
"3084","ENSMUSG00000021403.3","Serpinb9b"
"3085","ENSMUSG00000021404.12","Serpinb9c"
"3086","ENSMUSG00000021408.15","Ripk1"
"3087","ENSMUSG00000021411.16","Pxdc1"
"3088","ENSMUSG00000021413.9","Prpf4b"
"3089","ENSMUSG00000021414.8","Fam217a"
"3090","ENSMUSG00000021415.13","4933417A18Rik"
"3091","ENSMUSG00000021416.11","Eci3"
"3092","ENSMUSG00000021417.15","Eci2"
"3093","ENSMUSG00000021418.15","Rpp40"
"3094","ENSMUSG00000021420.13","Fars2"
"3095","ENSMUSG00000021423.6","Ly86"
"3096","ENSMUSG00000021427.10","Ssr1"
"3097","ENSMUSG00000021428.9","Riok1"
"3098","ENSMUSG00000021431.15","Snrnp48"
"3099","ENSMUSG00000021432.15","Slc35b3"
"3100","ENSMUSG00000021439.8","Ctsq"
"3101","ENSMUSG00000021440.7","Cts7"
"3102","ENSMUSG00000021441.4","Cts6"
"3103","ENSMUSG00000021448.8","Shc3"
"3104","ENSMUSG00000021451.16","Sema4d"
"3105","ENSMUSG00000021453.2","Gadd45g"
"3106","ENSMUSG00000021456.8","Fbp2"
"3107","ENSMUSG00000021457.14","Syk"
"3108","ENSMUSG00000021458.17","Aopep"
"3109","ENSMUSG00000021460.17","Auh"
"3110","ENSMUSG00000021461.17","Fancc"
"3111","ENSMUSG00000021464.14","Ror2"
"3112","ENSMUSG00000021466.12","Ptch1"
"3113","ENSMUSG00000021468.8","Sptlc1"
"3114","ENSMUSG00000021469.9","Msx2"
"3115","ENSMUSG00000021470.19","Ercc6l2"
"3116","ENSMUSG00000021474.9","Sfxn1"
"3117","ENSMUSG00000021476.9","Habp4"
"3118","ENSMUSG00000021477.9","Ctsl"
"3119","ENSMUSG00000021478.6","Drd1"
"3120","ENSMUSG00000021481.11","Zfp346"
"3121","ENSMUSG00000021482.10","Prxl2c"
"3122","ENSMUSG00000021483.8","Cdk20"
"3123","ENSMUSG00000021484.8","Lman2"
"3124","ENSMUSG00000021485.14","Mxd3"
"3125","ENSMUSG00000021486.7","Prelid1"
"3126","ENSMUSG00000021488.8","Nsd1"
"3127","ENSMUSG00000021490.11","Slc34a1"
"3128","ENSMUSG00000021492.15","F12"
"3129","ENSMUSG00000021493.15","Pdlim7"
"3130","ENSMUSG00000021494.9","Ddx41"
"3131","ENSMUSG00000021495.10","Fam193b"
"3132","ENSMUSG00000021496.12","Pcbd2"
"3133","ENSMUSG00000021497.10","Txndc15"
"3134","ENSMUSG00000021499.12","Catsper3"
"3135","ENSMUSG00000021500.17","Ddx46"
"3136","ENSMUSG00000021501.4","Caml"
"3137","ENSMUSG00000021504.14","B4galt7"
"3138","ENSMUSG00000021506.7","Pitx1"
"3139","ENSMUSG00000021508.11","Cxcl14"
"3140","ENSMUSG00000021509.5","Slc25a48"
"3141","ENSMUSG00000021510.11","Zfp729a"
"3142","ENSMUSG00000021514.18","Zfp369"
"3143","ENSMUSG00000021518.4","Ptdss1"
"3144","ENSMUSG00000021519.11","Mterf3"
"3145","ENSMUSG00000021520.4","Uqcrb"
"3146","ENSMUSG00000021532.11","Fastkd3"
"3147","ENSMUSG00000021534.8","1700001L19Rik"
"3148","ENSMUSG00000021536.7","Adcy2"
"3149","ENSMUSG00000021537.9","Cetn3"
"3150","ENSMUSG00000021538.3","Il9"
"3151","ENSMUSG00000021539.9","Lect2"
"3152","ENSMUSG00000021540.16","Smad5"
"3153","ENSMUSG00000021541.14","Trpc7"
"3154","ENSMUSG00000021545.5","1700067P10Rik"
"3155","ENSMUSG00000021546.18","Hnrnpk"
"3156","ENSMUSG00000021548.10","Ccnh"
"3157","ENSMUSG00000021549.14","Rasa1"
"3158","ENSMUSG00000021550.6","2210016F16Rik"
"3159","ENSMUSG00000021552.7","Gkap1"
"3160","ENSMUSG00000021553.14","Slc28a3"
"3161","ENSMUSG00000021555.15","Naa35"
"3162","ENSMUSG00000021556.12","Golm1"
"3163","ENSMUSG00000021557.15","Agtpbp1"
"3164","ENSMUSG00000021559.14","Dapk1"
"3165","ENSMUSG00000021565.16","Slc6a19"
"3166","ENSMUSG00000021566.7","Slc6a19os"
"3167","ENSMUSG00000021567.15","Nkd2"
"3168","ENSMUSG00000021569.10","Trip13"
"3169","ENSMUSG00000021572.9","Cep72"
"3170","ENSMUSG00000021573.15","Tppp"
"3171","ENSMUSG00000021575.16","Ahrr"
"3172","ENSMUSG00000021576.6","Pdcd6"
"3173","ENSMUSG00000021577.14","Sdha"
"3174","ENSMUSG00000021578.17","Ccdc127"
"3175","ENSMUSG00000021579.4","Lrrc14b"
"3176","ENSMUSG00000021583.7","Erap1"
"3177","ENSMUSG00000021585.10","Cast"
"3178","ENSMUSG00000021587.5","Pcsk1"
"3179","ENSMUSG00000021589.13","Rhobtb3"
"3180","ENSMUSG00000021590.7","Spata9"
"3181","ENSMUSG00000021591.8","Glrx"
"3182","ENSMUSG00000021592.18","Arsk"
"3183","ENSMUSG00000021594.11","Srd5a1"
"3184","ENSMUSG00000021595.18","Nsun2"
"3185","ENSMUSG00000021596.16","Mctp1"
"3186","ENSMUSG00000021597.16","Slf1"
"3187","ENSMUSG00000021598.9","Med10"
"3188","ENSMUSG00000021600.5","8030423J24Rik"
"3189","ENSMUSG00000021604.15","Irx4"
"3190","ENSMUSG00000021606.8","Ndufs6"
"3191","ENSMUSG00000021607.9","Mrpl36"
"3192","ENSMUSG00000021608.15","Lpcat1"
"3193","ENSMUSG00000021609.6","Slc6a3"
"3194","ENSMUSG00000021610.8","Clptm1l"
"3195","ENSMUSG00000021611.9","Tert"
"3196","ENSMUSG00000021612.15","Slc6a18"
"3197","ENSMUSG00000021613.9","Hapln1"
"3198","ENSMUSG00000021614.16","Vcan"
"3199","ENSMUSG00000021615.13","Xrcc4"
"3200","ENSMUSG00000021619.6","Atg10"
"3201","ENSMUSG00000021620.4","Acot12"
"3202","ENSMUSG00000021621.15","Zcchc9"
"3203","ENSMUSG00000021622.3","Ckmt2"
"3204","ENSMUSG00000021624.9","Cd180"
"3205","ENSMUSG00000021629.10","Slc30a5"
"3206","ENSMUSG00000021631.8","Mrps36-ps1"
"3207","ENSMUSG00000021635.14","Rad17"
"3208","ENSMUSG00000021636.15","Marveld2"
"3209","ENSMUSG00000021638.12","Ocln"
"3210","ENSMUSG00000021639.17","Gtf2h2"
"3211","ENSMUSG00000021640.6","Naip1"
"3212","ENSMUSG00000021643.15","Serf1"
"3213","ENSMUSG00000021645.16","Smn1"
"3214","ENSMUSG00000021646.9","Mccc2"
"3215","ENSMUSG00000021647.7","Cartpt"
"3216","ENSMUSG00000021650.7","Ptcd2"
"3217","ENSMUSG00000021660.14","Btf3"
"3218","ENSMUSG00000021661.16","Ankra2"
"3219","ENSMUSG00000021662.11","Arhgef28"
"3220","ENSMUSG00000021665.9","Hexb"
"3221","ENSMUSG00000021666.16","Gfm2"
"3222","ENSMUSG00000021668.15","Polk"
"3223","ENSMUSG00000021669.15","Col4a3bp"
"3224","ENSMUSG00000021670.14","Hmgcr"
"3225","ENSMUSG00000021671.9","Poc5"
"3226","ENSMUSG00000021675.4","F2rl2"
"3227","ENSMUSG00000021676.10","Iqgap2"
"3228","ENSMUSG00000021678.9","F2rl1"
"3229","ENSMUSG00000021679.4","S100z"
"3230","ENSMUSG00000021680.8","Crhbp"
"3231","ENSMUSG00000021681.8","Aggf1"
"3232","ENSMUSG00000021684.17","Pde8b"
"3233","ENSMUSG00000021685.11","Otp"
"3234","ENSMUSG00000021686.6","Ap3b1"
"3235","ENSMUSG00000021687.14","Scamp1"
"3236","ENSMUSG00000021690.10","Jmy"
"3237","ENSMUSG00000021692.9","Dimt1"
"3238","ENSMUSG00000021693.20","Kif2a"
"3239","ENSMUSG00000021694.18","Ercc8"
"3240","ENSMUSG00000021696.9","Elovl7"
"3241","ENSMUSG00000021697.12","Depdc1b"
"3242","ENSMUSG00000021699.17","Pde4d"
"3243","ENSMUSG00000021700.10","Rab3c"
"3244","ENSMUSG00000021701.8","Plk2"
"3245","ENSMUSG00000021702.7","Thbs4"
"3246","ENSMUSG00000021703.9","Serinc5"
"3247","ENSMUSG00000021704.8","Mtx3"
"3248","ENSMUSG00000021706.14","Zfyve16"
"3249","ENSMUSG00000021707.5","Dhfr"
"3250","ENSMUSG00000021708.17","Rasgrf2"
"3251","ENSMUSG00000021709.14","Erbin"
"3252","ENSMUSG00000021710.11","Nln"
"3253","ENSMUSG00000021711.17","Trappc13"
"3254","ENSMUSG00000021712.15","Trim23"
"3255","ENSMUSG00000021713.9","Ppwd1"
"3256","ENSMUSG00000021714.15","Cenpk"
"3257","ENSMUSG00000021715.12","Cwc27"
"3258","ENSMUSG00000021716.14","Srek1ip1"
"3259","ENSMUSG00000021718.5","Nt5el"
"3260","ENSMUSG00000021719.9","Rgs7bp"
"3261","ENSMUSG00000021720.11","Rnf180"
"3262","ENSMUSG00000021721.5","Htr1a"
"3263","ENSMUSG00000021725.9","Parp8"
"3264","ENSMUSG00000021728.8","Emb"
"3265","ENSMUSG00000021730.8","Hcn1"
"3266","ENSMUSG00000021731.10","Mrps30"
"3267","ENSMUSG00000021732.14","Fgf10"
"3268","ENSMUSG00000021733.11","Slc4a7"
"3269","ENSMUSG00000021737.4","Psmd6"
"3270","ENSMUSG00000021738.5","Atxn7"
"3271","ENSMUSG00000021741.4","Gm5457"
"3272","ENSMUSG00000021743.6","Fezf2"
"3273","ENSMUSG00000021745.14","Ptprg"
"3274","ENSMUSG00000021747.12","4930452B06Rik"
"3275","ENSMUSG00000021748.9","Pdhb"
"3276","ENSMUSG00000021749.6","Oit1"
"3277","ENSMUSG00000021750.16","Fam107a"
"3278","ENSMUSG00000021751.13","Acox2"
"3279","ENSMUSG00000021752.13","Kctd6"
"3280","ENSMUSG00000021754.17","Map3k1"
"3281","ENSMUSG00000021756.12","Il6st"
"3282","ENSMUSG00000021758.14","Ddx4"
"3283","ENSMUSG00000021759.14","Plpp1"
"3284","ENSMUSG00000021760.5","Gpx8"
"3285","ENSMUSG00000021763.17","BC067074"
"3286","ENSMUSG00000021764.8","Ndufs4"
"3287","ENSMUSG00000021765.9","Fst"
"3288","ENSMUSG00000021767.19","Kat6b"
"3289","ENSMUSG00000021768.15","Dusp13"
"3290","ENSMUSG00000021770.11","Samd8"
"3291","ENSMUSG00000021771.14","Vdac2"
"3292","ENSMUSG00000021772.15","Nkiras1"
"3293","ENSMUSG00000021773.11","Comtd1"
"3294","ENSMUSG00000021774.13","Ube2e1"
"3295","ENSMUSG00000021775.11","Nr1d2"
"3296","ENSMUSG00000021779.17","Thrb"
"3297","ENSMUSG00000021782.14","Dlg5"
"3298","ENSMUSG00000021785.8","Ngly1"
"3299","ENSMUSG00000021786.13","Oxsm"
"3300","ENSMUSG00000021789.14","Sftpa1"
"3301","ENSMUSG00000021790.12","Dydc1"
"3302","ENSMUSG00000021791.7","Dydc2"
"3303","ENSMUSG00000021792.15","Prxl2a"
"3304","ENSMUSG00000021794.16","Glud1"
"3305","ENSMUSG00000021795.10","Sftpd"
"3306","ENSMUSG00000021796.15","Bmpr1a"
"3307","ENSMUSG00000021797.2","9230112D13Rik"
"3308","ENSMUSG00000021798.14","Ldb3"
"3309","ENSMUSG00000021799.9","Opn4"
"3310","ENSMUSG00000021803.10","Cdhr1"
"3311","ENSMUSG00000021804.6","Rgr"
"3312","ENSMUSG00000021806.4","Nid2"
"3313","ENSMUSG00000021807.6","Rtraf"
"3314","ENSMUSG00000021809.10","Nudt13"
"3315","ENSMUSG00000021810.3","Ecd"
"3316","ENSMUSG00000021811.7","Dnajc9"
"3317","ENSMUSG00000021814.17","Anxa7"
"3318","ENSMUSG00000021815.4","Mss51"
"3319","ENSMUSG00000021816.11","Ppp3cb"
"3320","ENSMUSG00000021819.11","Zswim8"
"3321","ENSMUSG00000021820.18","Camk2g"
"3322","ENSMUSG00000021822.3","Plau"
"3323","ENSMUSG00000021823.10","Vcl"
"3324","ENSMUSG00000021824.13","Ap3m1"
"3325","ENSMUSG00000021830.14","Txndc16"
"3326","ENSMUSG00000021831.9","Ero1l"
"3327","ENSMUSG00000021832.8","Psmc6"
"3328","ENSMUSG00000021835.15","Bmp4"
"3329","ENSMUSG00000021838.17","Samd4"
"3330","ENSMUSG00000021840.17","Mapk1ip1l"
"3331","ENSMUSG00000021843.17","Ktn1"
"3332","ENSMUSG00000021846.9","Peli2"
"3333","ENSMUSG00000021848.16","Otx2"
"3334","ENSMUSG00000021850.14","ccdc198"
"3335","ENSMUSG00000021852.14","Slc35f4"
"3336","ENSMUSG00000021866.15","Anxa11"
"3337","ENSMUSG00000021867.16","Tmem254b"
"3338","ENSMUSG00000021868.7","Ppif"
"3339","ENSMUSG00000021870.17","Slmap"
"3340","ENSMUSG00000021871.19","Gm49342"
"3341","ENSMUSG00000021872.8","Rnase10"
"3342","ENSMUSG00000021874.12","4933413J09Rik"
"3343","ENSMUSG00000021876.15","Rnase4"
"3344","ENSMUSG00000021877.12","Arf4"
"3345","ENSMUSG00000021879.13","Dnah12"
"3346","ENSMUSG00000021880.7","Rnase6"
"3347","ENSMUSG00000021884.18","Hacl1"
"3348","ENSMUSG00000021886.7","Gpr65"
"3349","ENSMUSG00000021890.6","Eaf1"
"3350","ENSMUSG00000021891.8","Mettl6"
"3351","ENSMUSG00000021892.14","Sh3bp5"
"3352","ENSMUSG00000021893.14","Capn7"
"3353","ENSMUSG00000021895.10","Arhgef3"
"3354","ENSMUSG00000021898.16","Asb14"
"3355","ENSMUSG00000021900.10","Btd"
"3356","ENSMUSG00000021901.10","Bap1"
"3357","ENSMUSG00000021902.7","Phf7"
"3358","ENSMUSG00000021903.11","Galnt15"
"3359","ENSMUSG00000021904.6","Sema3g"
"3360","ENSMUSG00000021905.14","Dph3"
"3361","ENSMUSG00000021906.14","Oxnad1"
"3362","ENSMUSG00000021907.13","Msmb"
"3363","ENSMUSG00000021908.10","Ncoa4-ps"
"3364","ENSMUSG00000021910.15","Nisch"
"3365","ENSMUSG00000021911.16","Parg"
"3366","ENSMUSG00000021913.8","Ogdhl"
"3367","ENSMUSG00000021916.16","Glt8d1"
"3368","ENSMUSG00000021917.16","Spcs1"
"3369","ENSMUSG00000021918.10","Nek4"
"3370","ENSMUSG00000021919.8","Chat"
"3371","ENSMUSG00000021922.17","Itih4"
"3372","ENSMUSG00000021927.7","Hnrnpa1l2-ps2"
"3373","ENSMUSG00000021928.9","Ebpl"
"3374","ENSMUSG00000021929.9","Kpna3"
"3375","ENSMUSG00000021930.14","Spryd7"
"3376","ENSMUSG00000021932.13","Rnaseh2b"
"3377","ENSMUSG00000021933.11","Gucy1b2"
"3378","ENSMUSG00000021936.14","Mapk8"
"3379","ENSMUSG00000021938.12","Pspc1"
"3380","ENSMUSG00000021939.8","Ctsb"
"3381","ENSMUSG00000021940.10","Ptpn20"
"3382","ENSMUSG00000021943.7","Gdf10"
"3383","ENSMUSG00000021944.15","Gata4"
"3384","ENSMUSG00000021945.9","Zmym2"
"3385","ENSMUSG00000021947.11","Cryl1"
"3386","ENSMUSG00000021948.17","Prkcd"
"3387","ENSMUSG00000021950.15","Anxa8"
"3388","ENSMUSG00000021951.7","Eef1akmt1"
"3389","ENSMUSG00000021952.16","Xpo4"
"3390","ENSMUSG00000021953.14","Tdh"
"3391","ENSMUSG00000021957.7","Tkt"
"3392","ENSMUSG00000021958.5","Pinx1"
"3393","ENSMUSG00000021959.16","Lats2"
"3394","ENSMUSG00000021961.6","4930578I06Rik"
"3395","ENSMUSG00000021962.9","Dcp1a"
"3396","ENSMUSG00000021963.17","Sap18"
"3397","ENSMUSG00000021965.3","Ska3"
"3398","ENSMUSG00000021966.7","Prss52"
"3399","ENSMUSG00000021967.4","Mrpl57"
"3400","ENSMUSG00000021969.8","Zdhhc20"
"3401","ENSMUSG00000021972.14","Hmbox1"
"3402","ENSMUSG00000021973.9","Micu2"
"3403","ENSMUSG00000021974.15","Fgf9"
"3404","ENSMUSG00000021975.9","Ints9"
"3405","ENSMUSG00000021977.11","1700129C05Rik"
"3406","ENSMUSG00000021978.9","Extl3"
"3407","ENSMUSG00000021981.10","Cab39l"
"3408","ENSMUSG00000021982.14","Cdadc1"
"3409","ENSMUSG00000021983.16","Atp8a2"
"3410","ENSMUSG00000021986.9","Amer2"
"3411","ENSMUSG00000021987.9","Mtmr6"
"3412","ENSMUSG00000021990.16","Spata13"
"3413","ENSMUSG00000021991.9","Cacna2d3"
"3414","ENSMUSG00000021993.10","Mipep"
"3415","ENSMUSG00000021994.15","Wnt5a"
"3416","ENSMUSG00000021996.16","Esd"
"3417","ENSMUSG00000021997.4","Lrrc63"
"3418","ENSMUSG00000021998.16","Lcp1"
"3419","ENSMUSG00000021999.9","Cpb2"
"3420","ENSMUSG00000022000.11","Zc3h13"
"3421","ENSMUSG00000022002.2","Erich6b"
"3422","ENSMUSG00000022003.7","Slc25a30"
"3423","ENSMUSG00000022008.4","Gpalpp1"
"3424","ENSMUSG00000022009.1","Nufip1"
"3425","ENSMUSG00000022010.19","Tsc22d1"
"3426","ENSMUSG00000022012.9","Enox1"
"3427","ENSMUSG00000022013.4","Dnajc15"
"3428","ENSMUSG00000022014.15","Epsti1"
"3429","ENSMUSG00000022015.8","Tnfsf11"
"3430","ENSMUSG00000022016.17","Akap11"
"3431","ENSMUSG00000022018.7","Rgcc"
"3432","ENSMUSG00000022019.16","Tdrd3"
"3433","ENSMUSG00000022020.15","Naa16"
"3434","ENSMUSG00000022021.14","Diaph3"
"3435","ENSMUSG00000022022.3","Mtrf1"
"3436","ENSMUSG00000022023.6","Wbp4"
"3437","ENSMUSG00000022024.10","Sugt1"
"3438","ENSMUSG00000022025.13","Cnmd"
"3439","ENSMUSG00000022026.7","Olfm4"
"3440","ENSMUSG00000022031.6","Elp3"
"3441","ENSMUSG00000022032.14","Scara5"
"3442","ENSMUSG00000022033.9","Pbk"
"3443","ENSMUSG00000022034.10","Esco2"
"3444","ENSMUSG00000022035.6","Ccdc25"
"3445","ENSMUSG00000022037.15","Clu"
"3446","ENSMUSG00000022039.6","Adam2"
"3447","ENSMUSG00000022040.8","Ephx2"
"3448","ENSMUSG00000022041.10","Chrna2"
"3449","ENSMUSG00000022043.19","Trim35"
"3450","ENSMUSG00000022044.14","Stmn4"
"3451","ENSMUSG00000022048.8","Dpysl2"
"3452","ENSMUSG00000022051.15","Bnip3l"
"3453","ENSMUSG00000022052.9","Ppp2r2a"
"3454","ENSMUSG00000022053.13","Ebf2"
"3455","ENSMUSG00000022054.11","Nefm"
"3456","ENSMUSG00000022055.7","Nefl"
"3457","ENSMUSG00000022056.9","Adam7"
"3458","ENSMUSG00000022057.8","Adamdec1"
"3459","ENSMUSG00000022061.8","Nkx3-1"
"3460","ENSMUSG00000022064.10","Pibf1"
"3461","ENSMUSG00000022066.16","Entpd4b"
"3462","ENSMUSG00000022070.7","Bora"
"3463","ENSMUSG00000022074.6","Tnfrsf10b"
"3464","ENSMUSG00000022075.7","Rhobtb2"
"3465","ENSMUSG00000022076.10","Klhl1"
"3466","ENSMUSG00000022085.4","Pebp4"
"3467","ENSMUSG00000022089.9","Bin3"
"3468","ENSMUSG00000022090.10","Pdlim2"
"3469","ENSMUSG00000022091.6","Sorbs3"
"3470","ENSMUSG00000022092.11","Ppp3cc"
"3471","ENSMUSG00000022094.15","Slc39a14"
"3472","ENSMUSG00000022095.9","Fam160b2"
"3473","ENSMUSG00000022096.14","Hr"
"3474","ENSMUSG00000022097.4","Sftpc"
"3475","ENSMUSG00000022098.10","Bmp1"
"3476","ENSMUSG00000022099.17","Dmtn"
"3477","ENSMUSG00000022100.14","Xpo7"
"3478","ENSMUSG00000022101.6","Fgf17"
"3479","ENSMUSG00000022102.13","Dok2"
"3480","ENSMUSG00000022103.10","Gfra2"
"3481","ENSMUSG00000022105.6","Rb1"
"3482","ENSMUSG00000022106.14","Rcbtb2"
"3483","ENSMUSG00000022108.8","Itm2b"
"3484","ENSMUSG00000022109.6","Med4"
"3485","ENSMUSG00000022110.13","Sucla2"
"3486","ENSMUSG00000022111.9","Uchl3"
"3487","ENSMUSG00000022112.14","Gpc5"
"3488","ENSMUSG00000022113.6","Trim52"
"3489","ENSMUSG00000022114.5","Spry2"
"3490","ENSMUSG00000022116.7","4930449E01Rik"
"3491","ENSMUSG00000022119.15","Rbm26"
"3492","ENSMUSG00000022120.4","Rnf219"
"3493","ENSMUSG00000022122.15","Ednrb"
"3494","ENSMUSG00000022123.9","Scel"
"3495","ENSMUSG00000022124.15","Fbxl3"
"3496","ENSMUSG00000022125.7","Cln5"
"3497","ENSMUSG00000022126.6","Acod1"
"3498","ENSMUSG00000022129.4","Dct"
"3499","ENSMUSG00000022130.10","Tgds"
"3500","ENSMUSG00000022131.3","Gpr180"
"3501","ENSMUSG00000022132.15","Cldn10"
"3502","ENSMUSG00000022136.8","Dnajc3"
"3503","ENSMUSG00000022139.17","Mbnl2"
"3504","ENSMUSG00000022141.7","Nipbl"
"3505","ENSMUSG00000022142.8","Nup155"
"3506","ENSMUSG00000022144.4","Gdnf"
"3507","ENSMUSG00000022146.12","Osmr"
"3508","ENSMUSG00000022148.16","Fyb"
"3509","ENSMUSG00000022149.18","C9"
"3510","ENSMUSG00000022150.16","Dab2"
"3511","ENSMUSG00000022151.16","Ttc33"
"3512","ENSMUSG00000022155.9","Mroh2b"
"3513","ENSMUSG00000022156.8","Gzme"
"3514","ENSMUSG00000022157.8","Mcpt8"
"3515","ENSMUSG00000022159.16","Rab2b"
"3516","ENSMUSG00000022160.18","Mettl3"
"3517","ENSMUSG00000022174.8","Dad1"
"3518","ENSMUSG00000022175.9","Lrp10"
"3519","ENSMUSG00000022176.11","Rem2"
"3520","ENSMUSG00000022177.9","Haus4"
"3521","ENSMUSG00000022178.11","Ajuba"
"3522","ENSMUSG00000022179.5","4931414P19Rik"
"3523","ENSMUSG00000022180.7","Slc7a8"
"3524","ENSMUSG00000022181.16","C6"
"3525","ENSMUSG00000022184.8","Fbxo4"
"3526","ENSMUSG00000022185.19","Acin1"
"3527","ENSMUSG00000022186.14","Oxct1"
"3528","ENSMUSG00000022187.2","Gm5546"
"3529","ENSMUSG00000022191.16","Drosha"
"3530","ENSMUSG00000022193.7","Psmb5"
"3531","ENSMUSG00000022194.15","Pabpn1"
"3532","ENSMUSG00000022195.7","6030458C11Rik"
"3533","ENSMUSG00000022197.16","Pdzd2"
"3534","ENSMUSG00000022199.12","Slc22a17"
"3535","ENSMUSG00000022200.8","Golph3"
"3536","ENSMUSG00000022201.16","Zfr"
"3537","ENSMUSG00000022203.7","Efs"
"3538","ENSMUSG00000022204.9","Ngdn"
"3539","ENSMUSG00000022205.15","Sub1"
"3540","ENSMUSG00000022206.7","Npr3"
"3541","ENSMUSG00000022208.12","Jph4"
"3542","ENSMUSG00000022209.12","Dhrs2"
"3543","ENSMUSG00000022210.7","Dhrs4"
"3544","ENSMUSG00000022211.9","Carmil3"
"3545","ENSMUSG00000022212.15","Cpne6"
"3546","ENSMUSG00000022214.15","Dcaf11"
"3547","ENSMUSG00000022215.6","Fitm1"
"3548","ENSMUSG00000022216.17","Psme1"
"3549","ENSMUSG00000022217.14","Emc9"
"3550","ENSMUSG00000022218.16","Tgm1"
"3551","ENSMUSG00000022219.10","Cideb"
"3552","ENSMUSG00000022220.14","Adcy4"
"3553","ENSMUSG00000022221.14","Ripk3"
"3554","ENSMUSG00000022223.9","Sdr39u1"
"3555","ENSMUSG00000022225.7","Cma1"
"3556","ENSMUSG00000022226.6","Mcpt2"
"3557","ENSMUSG00000022227.5","Mcpt1"
"3558","ENSMUSG00000022228.14","Zscan26"
"3559","ENSMUSG00000022229.3","Atp12a"
"3560","ENSMUSG00000022231.10","Sema5a"
"3561","ENSMUSG00000022234.15","Cct5"
"3562","ENSMUSG00000022235.15","Cmbl"
"3563","ENSMUSG00000022236.10","Ropn1l"
"3564","ENSMUSG00000022237.17","Ankrd33b"
"3565","ENSMUSG00000022240.10","Ctnnd2"
"3566","ENSMUSG00000022241.6","Tars"
